height_Mm,temperature_K,pressure_dyn_cm2,i_pw_H,f_pw_H_1e16_cm3,i_pw_total_e,f_pw_total_e_1e16_cm3,iterations,duration_s,i_heinzel2015,f_heinzel2015_1e16_cm3,C_i,C_f
10,6000,0.01,0.7450261915585786,7.6662605091932,0.7456555184272059,7.679217426543111,63,18.627831985999364,0.74,5.0,0.9932536713265557,0.6522084651316137
10,6000,0.02,0.612755360239646,6.900345384483369,0.6133091531049565,6.912823737560543,64,22.969020136006293,0.62,4.6,1.0118230540774389,0.6666332978554816
10,6000,0.05,0.3787352406495073,6.397345700456191,0.3792263856872321,6.413948654454502,66,19.511612592003075,0.44,4.2,1.161761443813434,0.6565222823116312
10,6000,0.1,0.2289693298058182,6.272835995422733,0.2294345063127357,6.298349805806415,66,19.347702023995225,0.31,4.0,1.3538931186237975,0.6376701069370834
10,6000,0.2,0.1334173457982215,6.234426458627915,0.133864955609593,6.276329130182496,66,19.295471485995225,0.2,4.0,1.4990554549217099,0.641598714259327
10,8000,0.01,0.8223492321467939,9.736208851821404,0.8234343229383833,9.761919681732945,92,32.364161139004864,0.83,6.7,1.00930355079585,0.6881528633957555
10,8000,0.02,0.7161191129785498,8.82066279843716,0.7171739860674083,8.846668340622587,94,27.371254715995747,0.72,5.8,1.0054193317160722,0.6575469590593169
10,8000,0.05,0.5226417543877451,8.118794838029636,0.5236726083081702,8.15085329939597,96,19.592355122993467,0.55,5.0,1.052346077179203,0.6158549513505699
10,8000,0.1,0.3782693680306658,7.903999057237272,0.3792879597843721,7.946623644959016,96,23.922926797997206,0.44,4.8,1.163192257122786,0.6072875218279404
10,8000,0.2,0.2929292534741693,7.847242350861888,0.293936005607559,7.901274536514043,97,29.73807843599934,0.35,4.7,1.194827747140192,0.598936516785898
10,10000,0.01,0.8679491341838206,10.93515073255004,0.9148327813890782,12.148416194033006,107,20.471618932991987,0.87,8.1,1.002362887104102,0.7407305302056049
10,10000,0.02,0.7944467403314884,9.711723562509825,0.8279615095680154,10.548410746315644,122,42.72248978099378,0.79,6.8,0.9944027206535797,0.700184674350704
