height_Mm,T6000K_p0.01,T6000K_p0.02,T6000K_p0.05,T6000K_p0.1,T6000K_p0.2,T8000K_p0.01,T8000K_p0.02,T8000K_p0.05,T8000K_p0.1,T8000K_p0.2,T10000K_p0.01,T10000K_p0.02,T10000K_p0.05,T10000K_p0.1,T10000K_p0.2,T12000K_p0.01,T12000K_p0.02,T12000K_p0.05,T12000K_p0.1,T12000K_p0.2,T14000K_p0.01,T14000K_p0.02,T14000K_p0.05,T14000K_p0.1,T14000K_p0.2
86,0.61948739,0.46393016,0.28876038,0.19830857,0.12559491,0.72373753,0.57872305,0.39181691,0.31040734,0.26492364,0.79037896,0.68723315,0.60886798,0.6324917,0.67129196,0.84653108,0.78832053,0.78843376,0.82516795,0.86722328,0.88981323,0.85663368,0.86820348,0.90182386,0.9237751
87,0.61874324,0.46294656,0.28784465,0.19766134,0.12520349,0.72307208,0.57781257,0.39080858,0.30960742,0.26431322,0.78983515,0.68655665,0.60831146,0.63199131,0.67073661,0.84611839,0.78789755,0.78816541,0.8249589,0.8670332,0.88952044,0.85637762,0.8680456,0.90170609,0.92368301
88,0.61724758,0.461127,0.28642486,0.19667145,0.12458784,0.72178737,0.57615449,0.38921352,0.30847052,0.26351454,0.78883053,0.68536409,0.60750925,0.6313718,0.67008344,0.84539147,0.78723429,0.78781366,0.82470678,0.86680979,0.8890236,0.85600747,0.86785032,0.90156651,0.92357521
89,0.61554304,0.4591742,0.28496919,0.19567805,0.12397355,0.72028953,0.57432398,0.38754891,0.30729388,0.26267523,0.78761466,0.684026,0.60664629,0.63070011,0.66937095,0.84443405,0.78648298,0.7874301,0.82442985,0.86656461,0.8883759,0.85558106,0.86763469,0.90141263,0.92345658
90,0.61409445,0.45743613,0.28357306,0.19468592,0.12335503,0.7190443,0.57272425,0.38600488,0.30618354,0.26190678,0.78664762,0.68286561,0.60588684,0.63011768,0.66875784,0.84373815,0.78582486,0.78710085,0.82419384,0.86635536,0.88790354,0.85522971,0.86745139,0.90128217,0.92335579
91,0.6121831,0.45534016,0.2821224,0.19371116,0.12275113,0.71739906,0.57072024,0.38433703,0.30506923,0.26114772,0.78538002,0.68139066,0.60505859,0.62952325,0.66814581,0.84284133,0.78506146,0.78674853,0.82395179,0.86614499,0.88730584,0.85482427,0.86725759,0.90114951,0.92325455
92,0.61133403,0.45431148,0.28124521,0.1931005,0.122382,0.71665409,0.56977217,0.38336052,0.30430709,0.26057669,0.78474093,0.68065871,0.60451586,0.62904956,0.66762254,0.84240323,0.78462635,0.78648846,0.82375293,0.86596491,0.88700153,0.85455805,0.86710658,0.90103787,0.9231675
93,0.61088059,0.45356257,0.28044615,0.19250702,0.12202058,0.71628377,0.56915022,0.38250979,0.3035858,0.26002103,0.78445144,0.6801765,0.60403455,0.62859576,0.66711219,0.84217627,0.78431745,0.78625303,0.8235627,0.86578973,0.88683305,0.85436436,0.86696737,0.90093085,0.92308295
94,0.60943477,0.45192293,0.27911424,0.19155111,0.12142181,0.71496268,0.56759966,0.38104054,0.30250341,0.25925889,0.78344863,0.67901501,0.60329388,0.62800913,0.66648595,0.84145054,0.78366761,0.78592025,0.82332197,0.86557494,0.88634049,0.85400389,0.86677967,0.90079693,0.92297934
95,0.60679311,0.44895989,0.27722562,0.19031578,0.12065441,0.71273839,0.5647982,0.37880317,0.30114112,0.25838456,0.78176699,0.67709139,0.60223955,0.62733374,0.66582417,0.84028523,0.78270421,0.78550918,0.82305412,0.86534696,0.88557615,0.85351253,0.86656446,0.90065259,0.92287031
96,0.60516928,0.44722668,0.27596394,0.18946297,0.12012779,0.71133158,0.56305145,0.37735552,0.30014132,0.25768322,0.78067967,0.67584079,0.60149418,0.62676692,0.66522591,0.83951229,0.78203018,0.78517898,0.82282003,0.86514022,0.88502907,0.85314809,0.86638091,0.90052303,0.9227707
97,0.60451681,0.44637005,0.2751667,0.18889842,0.11978765,0.71074757,0.56228449,0.37647304,0.29942822,0.25713233,0.78020188,0.67523175,0.60098583,0.62629715,0.66470038,0.83914718,0.78164748,0.78492827,0.82262172,0.86495844,0.88476951,0.8529151,0.8662325,0.90041121,0.92268292
98,0.6029588,0.44465038,0.27385985,0.18798338,0.1192179,0.70938712,0.56062846,0.37500356,0.29837281,0.25638944,0.77914235,0.67400297,0.60022965,0.62570682,0.66407167,0.83834854,0.78097495,0.78458902,0.82237761,0.86474121,0.88425823,0.85254667,0.86604225,0.90027572,0.92257824
99,0.60113733,0.44261199,0.27242137,0.18699992,0.11860717,0.70779613,0.55868675,0.37335171,0.29724842,0.25561708,0.77789711,0.67260648,0.59939625,0.62509026,0.66342974,0.83745808,0.78022633,0.78423118,0.82212544,0.86451889,0.88366149,0.85214146,0.86584437,0.90013679,0.92247128
100,0.60002866,0.44129262,0.27135439,0.18624995,0.11814424,0.70683194,0.55745701,0.37215189,0.29635587,0.25496641,0.77714073,0.67168605,0.59875361,0.6245535,0.66284779,0.83690753,0.77970209,0.78393388,0.82190192,0.86431717,0.88328486,0.85184288,0.86567401,0.90001204,0.92237412
