height_Mm,T6000K_p0.01,T6000K_p0.02,T6000K_p0.05,T6000K_p0.1,T6000K_p0.2,T8000K_p0.01,T8000K_p0.02,T8000K_p0.05,T8000K_p0.1,T8000K_p0.2,T10000K_p0.01,T10000K_p0.02,T10000K_p0.05,T10000K_p0.1,T10000K_p0.2,T12000K_p0.01,T12000K_p0.02,T12000K_p0.05,T12000K_p0.1,T12000K_p0.2,T14000K_p0.01,T14000K_p0.02,T14000K_p0.05,T14000K_p0.1,T14000K_p0.2
21,0.72739356,0.5971886,0.40732312,0.28751135,0.17870773,0.80860826,0.69734903,0.51730078,0.4075325,0.32876299,0.85872379,0.77758031,0.67768411,0.67887945,0.71893092,0.89881019,0.83879011,0.80991608,0.83996651,0.87998149,0.91984042,0.87989749,0.88896235,0.90998559,0.93898652
22,0.72593201,0.59590349,0.40579648,0.28576815,0.17787991,0.80805227,0.69594122,0.5158668,0.40580171,0.32790224,0.85807052,0.77595832,0.67589683,0.67796645,0.71798444,0.8980618,0.83799169,0.809981,0.83999497,0.88,0.92001721,0.87999986,0.88798264,0.90999831,0.9379911
23,0.72382322,0.59380541,0.40366249,0.28365359,0.17681722,0.80693296,0.69385634,0.51374617,0.40368255,0.32682407,0.85697005,0.7738806,0.67382527,0.67692019,0.71694033,0.89698437,0.83691201,0.8099493,0.8399784,0.87998707,0.91999927,0.87996994,0.88696431,0.90998877,0.93698164
24,0.72128042,0.59120061,0.40118083,0.28132161,0.17561243,0.80547607,0.69128884,0.51123064,0.40132901,0.32560004,0.85557663,0.77150058,0.67158099,0.67578413,0.71582018,0.89567252,0.83567729,0.80985995,0.8399284,0.879949,0.91976977,0.87983014,0.88591629,0.90996182,0.93596097
25,0.71999426,0.59002614,0.39979628,0.27970642,0.17485544,0.80507165,0.69002258,0.50989154,0.39974776,0.32484701,0.85504867,0.76997679,0.66987852,0.67493926,0.71494754,0.89502125,0.8349729,0.80996761,0.83998416,0.8799899,0.92001465,0.8799885,0.88496853,0.9099909,0.93498071
26,0.71827927,0.5883732,0.39812917,0.2779573,0.17401544,0.80432988,0.68832688,0.50824082,0.39800184,0.32400984,0.85426714,0.76820111,0.66801845,0.67403499,0.71403386,0.89419032,0.83411139,0.81002453,0.84001832,0.88001714,0.92013718,0.88006815,0.88399968,0.9100095,0.93399482
27,0.71622804,0.58627463,0.39610192,0.27597669,0.17302618,0.80332405,0.68627043,0.50619166,0.39602222,0.32304822,0.85328195,0.76619092,0.66602084,0.67305569,0.71306716,0.89321377,0.83312404,0.81003469,0.84002905,0.88002753,0.92015957,0.88006309,0.8830106,0.91001663,0.93300207
28,0.71419952,0.58420073,0.3941058,0.27400505,0.17202962,0.80223006,0.68420632,0.50418121,0.39405161,0.32206878,0.8522173,0.7641589,0.66403182,0.67206911,0.7120821,0.89221822,0.83211951,0.81003716,0.84003313,0.88003122,0.92013245,0.88006651,0.88201669,0.91001931,0.93200667
29,0.71285698,0.58303448,0.39271648,0.27240992,0.17127445,0.80174158,0.68291108,0.5028597,0.39245212,0.32127828,0.85161474,0.76263025,0.66232969,0.67118701,0.71115549,0.89146483,0.83134165,0.81012224,0.84006885,0.8800527,0.9203358,0.88019403,0.8810561,0.91003567,0.93102057
30,0.71,0.58,0.39,0.27,0.17,0.8,0.68,0.5,0.39,0.32,0.85,0.76,0.66,0.67,0.71,0.89,0.83,0.81,0.84,0.88,0.92,0.88,0.88,0.91,0.93
31,0.70843531,0.57777203,0.38774978,0.26837655,0.16899761,0.79874742,0.6781847,0.49773458,0.38825742,0.31880726,0.84903,0.75872395,0.65898223,0.66927891,0.70927683,0.88928875,0.82924574,0.80958296,0.83972491,0.87976915,0.91949839,0.87956956,0.87977665,0.90984968,0.92988678
32,0.70734104,0.57621308,0.38598075,0.26701967,0.16816032,0.79784086,0.67688969,0.4960184,0.38678091,0.31773888,0.84831655,0.75776131,0.65816673,0.66863263,0.70858675,0.88875541,0.82864451,0.80922048,0.83946861,0.8795479,0.91911666,0.87921244,0.87957398,0.90970656,0.92977752
33,0.70447673,0.57239452,0.38257448,0.26463005,0.16666443,0.79551486,0.67370898,0.49246996,0.38427416,0.31612397,0.84652152,0.75557441,0.65661705,0.66767318,0.70768973,0.88749787,0.82741379,0.80864043,0.83911447,0.87926188,0.91824363,0.87854152,0.87927913,0.90951764,0.92963821
34,0.70320682,0.57066458,0.38077968,0.26332158,0.16586564,0.79446434,0.67225401,0.49067007,0.38281518,0.31507952,0.8456978,0.75450207,0.65576288,0.66701452,0.70699516,0.88684252,0.82675816,0.80826552,0.83885345,0.87903797,0.91777503,0.87815851,0.87907103,0.90937171,0.92952776
35,0.70139792,0.56823839,0.37844745,0.26162318,0.16481082,0.79299258,0.67016933,0.48826194,0.38098129,0.31382308,0.84455367,0.75304757,0.65467281,0.66624132,0.70621607,0.88600517,0.82590279,0.80781682,0.838556,0.87878784,0.91718785,0.87765606,0.87882988,0.90920851,0.92940497
36,0.69994621,0.56623497,0.37634445,0.26004579,0.16383049,0.79178677,0.66849455,0.48615835,0.37927163,0.31261499,0.84360289,0.75182264,0.65369455,0.66549899,0.70544196,0.88530026,0.82512885,0.80739647,0.83826523,0.87853864,0.91668828,0.87722058,0.87859759,0.90904711,0.92928227
37,0.69773083,0.56333944,0.37367903,0.25816753,0.16266079,0.78994543,0.66605523,0.48335452,0.37723266,0.31123454,0.84214741,0.75004042,0.65244286,0.66463377,0.70458253,0.88422933,0.82410436,0.8068895,0.83793375,0.87826143,0.91593688,0.87664006,0.87832566,0.90886563,0.92914635
38,0.6960048,0.56108254,0.37150573,0.25657479,0.16166873,0.78849197,0.66412892,0.48113117,0.37548965,0.31000752,0.84097868,0.7486373,0.65139696,0.66386227,0.70378542,0.88334543,0.82325801,0.80644305,0.83763037,0.87800332,0.91530024,0.87614814,0.87808106,0.90869769,0.92901929
39,0.69398834,0.55827268,0.36894528,0.25478843,0.16056156,0.78683716,0.66181798,0.47845367,0.37358721,0.30875759,0.83974984,0.7470566,0.65021457,0.66308484,0.70303389,0.88245797,0.82236643,0.80598819,0.83733939,0.87776193,0.91468358,0.87565689,0.87784615,0.90854095,0.92890187
40,0.69231941,0.55606989,0.36687201,0.25330814,0.15964553,0.78548205,0.65992843,0.47630195,0.37196917,0.30765241,0.83865246,0.74571941,0.64922495,0.66238494,0.70232441,0.88165346,0.82159197,0.80558148,0.8370677,0.87753243,0.91415279,0.87522208,0.87762787,0.90839212,0.92878954
41,0.69130824,0.55469599,0.36537939,0.25219349,0.15896357,0.78462167,0.65875779,0.47481313,0.37071185,0.3067287,0.83796849,0.74482931,0.64849697,0.66178542,0.7016736,0.88114072,0.82103445,0.80524749,0.83682614,0.87732117,0.91375241,0.87489035,0.87743789,0.90825639,0.92868541
42,0.68955221,0.5523884,0.36327096,0.25069988,0.15804015,0.78318099,0.65674657,0.4726101,0.36907756,0.30560741,0.83685088,0.74342678,0.64748287,0.66106601,0.7009436,0.88032658,0.82022093,0.8048282,0.83654629,0.87708425,0.91318489,0.87443409,0.87721204,0.90810278,0.9285695
43,0.68767932,0.5499297,0.36100043,0.24907994,0.1570331,0.78164531,0.65464943,0.47024525,0.36732296,0.30441418,0.83566029,0.74189027,0.6464082,0.66030779,0.7001784,0.87946045,0.81935757,0.8043869,0.83625233,0.87683638,0.91258208,0.87395163,0.87697264,0.90794202,0.92844824
44,0.68580418,0.54745529,0.35870031,0.24739541,0.15597671,0.78009726,0.65254096,0.46783514,0.36551189,0.30316926,0.8344554,0.74038336,0.64531178,0.65952565,0.69938173,0.87858183,0.81845545,0.80393376,0.83594811,0.87657793,0.91196911,0.87345851,0.87672772,0.90777489,0.92832176
45,0.68404271,0.54518551,0.3566366,0.24595215,0.15508727,0.77860288,0.65060148,0.46565523,0.36390719,0.30206104,0.83327088,0.73897464,0.64430373,0.65879246,0.69863269,0.87771337,0.81762109,0.80351068,0.83566167,0.87633379,0.91136381,0.87296759,0.87649563,0.90761661,0.92820216
46,0.6817121,0.542108,0.35398862,0.24411132,0.15393878,0.77662225,0.64800128,0.46282462,0.36190727,0.30072163,0.8316828,0.7371665,0.64301752,0.65792324,0.69777401,0.87656769,0.81658789,0.80300416,0.8353284,0.87605402,0.91054979,0.87238641,0.87622642,0.90743525,0.92806571
47,0.68035954,0.54029705,0.35231089,0.24290843,0.15319988,0.77550665,0.64645988,0.46107537,0.36056293,0.2997821,0.83081974,0.73605552,0.6421866,0.65730096,0.69712552,0.87589385,0.81593826,0.80264923,0.83508244,0.8758423,0.91010925,0.87201798,0.87603176,0.90729932,0.92796213
48,0.67843326,0.53774799,0.35009232,0.24134235,0.1522238,0.7739387,0.64424809,0.45872128,0.35887836,0.29865207,0.82961417,0.73454382,0.64112346,0.65657245,0.69639997,0.87502451,0.81508857,0.80222442,0.83480235,0.87560618,0.90950889,0.87155098,0.87580635,0.90714692,0.9278472
49,0.67729441,0.5362432,0.34863534,0.24029739,0.15158605,0.77297379,0.64295626,0.45720732,0.35768725,0.29779062,0.82885303,0.73358289,0.64038632,0.65598607,0.69577274,0.87446118,0.81450791,0.80189144,0.83456682,0.87540065,0.90907817,0.87121375,0.87562093,0.90701536,0.92774642
50,0.67596655,0.53450875,0.34698068,0.23907895,0.15083036,0.77185983,0.6414539,0.45549756,0.3563341,0.29682463,0.82798462,0.73243484,0.63956106,0.65534856,0.69509535,0.87382333,0.81385099,0.8015284,0.83431141,0.87517881,0.90863121,0.87083773,0.87541905,0.90687329,0.92763773
51,0.6746346,0.53272421,0.34533325,0.23791993,0.15012249,0.77074968,0.63993515,0.45373331,0.35503036,0.29590893,0.82711677,0.73133586,0.63873742,0.65472418,0.69444357,0.87318743,0.81320579,0.80117533,0.83406438,0.87496511,0.90818706,0.87047019,0.87522392,0.90673647,0.92753331
52,0.67328248,0.53095614,0.34358566,0.2366072,0.14930145,0.76961071,0.63839951,0.4519435,0.35359132,0.29488434,0.82622628,0.73019669,0.63788209,0.65405613,0.69373304,0.87253283,0.81250315,0.80079795,0.83379763,0.87473254,0.90772834,0.87008101,0.87501328,0.90658734,0.92741941
53,0.67068408,0.52765878,0.3409485,0.23480002,0.14817399,0.76740683,0.63555708,0.44906182,0.35164328,0.29360892,0.82450302,0.72821815,0.63659291,0.65321407,0.69291472,0.87132937,0.81140787,0.80029607,0.8334762,0.87446438,0.90690261,0.86948792,0.87474993,0.90641348,0.92728926
54,0.66879663,0.52523102,0.33891159,0.23338693,0.1472974,0.76582513,0.63347279,0.44685829,0.35008361,0.29254594,0.82326926,0.72673744,0.63557505,0.65249367,0.69218564,0.87039498,0.81056485,0.79987811,0.8331949,0.8742246,0.90628883,0.86902034,0.87452356,0.9062591,0.92717246
55,0.66713414,0.52309367,0.33707005,0.23209799,0.14650275,0.76439683,0.6315798,0.44487309,0.34860035,0.29149845,0.82210615,0.72539781,0.63460014,0.65176092,0.69141654,0.86950828,0.8097724,0.79946009,0.83290104,0.87396994,0.90565033,0.86854418,0.87429113,0.90609594,0.92704786
56,0.66544522,0.52085182,0.33516048,0.23074875,0.14566308,0.7630122,0.62967063,0.44282786,0.34713252,0.29050304,0.82104433,0.72406015,0.63365992,0.65109545,0.69074128,0.86874403,0.8090244,0.79907709,0.832641,0.87374811,0.90512392,0.86813256,0.87408526,0.90595416,0.9269401
57,0.6640932,0.51912214,0.33363826,0.22967691,0.14500529,0.76186964,0.62816419,0.44119995,0.34592023,0.28964733,0.82014992,0.72292172,0.63287625,0.65049748,0.69011455,0.86809039,0.80838457,0.79873695,0.83240267,0.87354112,0.90463658,0.86777094,0.87389454,0.90582196,0.92683896
58,0.66273499,0.51737774,0.33210513,0.22857771,0.14432643,0.76073102,0.62663972,0.43956769,0.34468501,0.28877318,0.81926729,0.72181276,0.63208222,0.64989436,0.68947793,0.86744774,0.80774372,0.79839224,0.83216057,0.8733306,0.90419056,0.8674098,0.87370385,0.90568782,0.9267363
59,0.66159639,0.51581978,0.33070313,0.2275933,0.14372663,0.75973566,0.62529243,0.43804613,0.34355586,0.28796774,0.81848982,0.72082896,0.63135013,0.64932221,0.68887082,0.86687798,0.80716727,0.79807073,0.83193076,0.87312957,0.90379353,0.86708072,0.87352419,0.90556009,0.92663827
60,0.66012223,0.51389957,0.32896959,0.22633922,0.14294507,0.75850109,0.62362361,0.43621035,0.34217428,0.28700626,0.81748017,0.7196227,0.63048335,0.64866889,0.68818816,0.86617973,0.80647429,0.79770055,0.83167165,0.87290421,0.90330939,0.86669128,0.87332007,0.90541683,0.92652854
61,0.65842348,0.51175462,0.32722094,0.22514096,0.14221042,0.75703568,0.62174031,0.43429374,0.34082882,0.28608702,0.81638735,0.71828222,0.62957859,0.64802092,0.68752484,0.86539296,0.80570052,0.79732084,0.83141543,0.87268419,0.90276961,0.86627912,0.87311595,0.90527613,0.92642163
62,0.65632812,0.50910581,0.32505908,0.22361312,0.14125233,0.75530423,0.61937037,0.43194429,0.33917901,0.28498435,0.81506012,0.71665244,0.62850145,0.6472778,0.68677841,0.86440237,0.80480653,0.79688628,0.83112588,0.87243739,0.90212257,0.86579513,0.872884,0.90511824,0.92630196
