height_Mm,T6000K_p0.01,T6000K_p0.02,T6000K_p0.05,T6000K_p0.1,T6000K_p0.2,T8000K_p0.01,T8000K_p0.02,T8000K_p0.05,T8000K_p0.1,T8000K_p0.2,T10000K_p0.01,T10000K_p0.02,T10000K_p0.05,T10000K_p0.1,T10000K_p0.2,T12000K_p0.01,T12000K_p0.02,T12000K_p0.05,T12000K_p0.1,T12000K_p0.2,T14000K_p0.01,T14000K_p0.02,T14000K_p0.05,T14000K_p0.1,T14000K_p0.2
85,3.6294315,3.1294281,2.7192967,2.6517202,2.6518084,5.1431365,4.0275052,3.3243084,3.1042154,3.1052673,6.2697609,4.692037,3.4687945,3.3482106,3.4934263,6.8863145,4.6746534,3.2458813,3.2887767,3.5410491,7.2439724,4.5765706,3.2533449,3.2106587,3.3887441
86,3.6102645,3.1129742,2.7068802,2.6400935,2.6402027,5.1185088,4.0054522,3.3081422,3.0902541,3.0914184,6.2376004,4.6641126,3.4515744,3.3332249,3.4777386,6.8471925,4.6455468,3.2301278,3.2743492,3.5260096,7.2006566,4.5490099,3.2378637,3.196599,3.3744638
87,3.6025624,3.1037056,2.6972303,2.6305864,2.6306882,5.1107771,3.995117,3.2965792,3.0790397,3.080181,6.2285761,4.6518594,3.4396799,3.3214288,3.4651781,6.8353495,4.6316534,3.2190875,3.263169,3.5140911,7.1861463,4.5345664,3.2267401,3.1856936,3.3631832
88,3.5900229,3.0908526,2.686023,2.6198138,2.6199198,5.0968361,3.9793113,3.2825313,3.0662079,3.0673812,6.2113942,4.6328321,3.4249506,3.3077652,3.4507455,6.8137145,4.6113554,3.2056067,3.2501242,3.5003119,7.1610663,4.5145611,3.2133595,3.1729862,3.3501221
89,3.5749573,3.0765182,2.6737345,2.6080365,2.608166,5.0780614,3.9610556,3.267085,3.0521635,3.0534135,6.1855719,4.6103552,3.408728,3.2928224,3.4350143,6.7816762,4.5870872,3.1906258,3.2357997,3.4852613,7.1208222,4.4902068,3.1984206,3.1589877,3.3358187
90,3.5634517,3.0649127,2.6634782,2.5981113,2.5982319,5.065596,3.9466783,3.2543087,3.0403658,3.0416035,6.1705751,4.5928892,3.3952476,3.2802565,3.421684,6.7629269,4.5685901,3.1782234,3.223801,3.4725511,7.0990259,4.4719399,3.1861267,3.1473074,3.3237864
91,3.5481665,3.0516611,2.6530672,2.5882308,2.5883565,5.0463609,3.9289736,3.2409772,3.0285759,3.0298692,6.145955,4.5707983,3.3810679,3.2676553,3.4084461,6.7333562,4.5455119,3.1651824,3.2116945,3.4598939,7.0663779,4.4501276,3.1733041,3.1355202,3.311788
92,3.5400391,3.0428322,2.6442356,2.5795181,2.5796314,5.037727,3.9184549,3.2303531,3.0183061,3.0195735,6.1375052,4.5582039,3.3700011,3.2568446,3.396939,6.7206396,4.5316666,3.1548796,3.2014178,3.4489714,7.0512881,4.4362994,3.162989,3.1255072,3.3014572
93,3.5351615,3.0353133,2.6358015,2.5710561,2.5711436,5.0355724,3.9105747,3.2204425,3.0083733,3.009564,6.1370692,4.5498888,3.359738,3.2464069,3.3857521,6.71927,4.522302,3.1454211,3.1915589,3.438378,7.0478657,4.4262491,3.1535107,3.115932,3.2914609
94,3.5236342,3.0242331,2.6255971,2.5610751,2.5611473,5.0229394,3.8965861,3.2078952,2.9965373,2.9976869,6.1200106,4.5322738,3.3464358,3.2338218,3.372352,6.6980594,4.5031083,3.1329883,3.1795118,3.425597,7.0235464,4.4073843,3.1411041,3.104169,3.2793473
95,3.5040766,3.0075265,2.6143372,2.5508194,2.5509243,4.9988143,3.8739379,3.1927046,2.9841745,2.9854997,6.0895789,4.5043995,3.3303561,3.2204595,3.3585141,6.6618927,4.4755498,3.1186536,3.1666678,3.412309,6.9841038,4.3821654,3.127255,3.0917292,3.2667648
96,3.4909014,2.9957289,2.604429,2.5412948,2.5413994,4.9824701,3.8585484,3.1802671,2.9728579,2.9742074,6.0688964,4.4849723,3.3171925,3.2084167,3.3458011,6.6371031,4.4552423,3.1064651,3.1551199,3.4001706,6.9585224,4.3627694,3.1152021,3.0804764,3.2552614
97,3.4842809,2.9876099,2.5957789,2.532712,2.5328031,4.9761203,3.8494221,3.1699748,2.9627628,2.9640772,6.0617215,4.4743042,3.3065762,3.197804,3.3344845,6.62757,4.4431404,3.0965955,3.1450689,3.3894358,6.9465641,4.350181,3.1052638,3.0706826,3.245115
98,3.4718788,2.976146,2.5856512,2.5228529,2.5229339,4.9611996,3.8345917,3.1574307,2.9510666,2.9523632,6.0429252,4.4557099,3.2932342,3.1853578,3.3212719,6.606564,4.4233638,3.0841691,3.1331328,3.376818,6.9207908,4.3310284,3.0929195,3.0590386,3.2331549
99,3.4577783,2.9632122,2.5752128,2.5128841,2.5129673,4.9437745,3.8178115,3.1441459,2.9391871,2.9405275,6.0202607,4.43491,3.2791714,3.1726579,3.3079025,6.5786689,4.4015637,3.0712958,3.1209631,3.3640265,6.8895631,4.3100768,3.0801915,3.0471893,3.2210364
100,3.4484143,2.9533225,2.5658407,2.5037176,2.5037917,4.9336622,3.8058194,3.132691,2.9283481,2.9296716,6.0081989,4.4204552,3.2671994,3.1611715,3.295702,6.5636234,4.3859726,3.0602209,3.1100219,3.3524041,6.8719771,4.2945959,3.0691445,3.0365309,3.2100372
