height_Mm,temperature_K,pressure_dyn_cm2,i_extension,f_extension_1e16_cm3,i_pw_H,f_pw_H_1e16_cm3,C_i_applied,C_f_applied,i_pw_total_e,f_pw_total_e_1e16_cm3,iterations,duration_s
2,10000,0.1,0.7006673952,5.480453902,0.7341900663,9.572363158,0.9543406093,0.5725288324,0.7451096339,9.859219047,132,45.43381525
2,10000,0.2,0.7399946098,5.697751975,0.7478965014,10.02974275,0.9894345119,0.5680855546,0.7541514424,10.19820935,129,35.99016498
2,12000,0.01,0.9208423673,9.629965627,0.9116421044,12.3921647,1.010091968,0.777101165,0.9974197464,14.83386598,88,16.33167695
2,12000,0.02,0.8617692022,7.561503882,0.8697311856,10.4343289,0.9908454663,0.7246756314,0.9551147097,12.58361736,108,22.74650995
2,12000,0.05,0.8263581903,5.398260156,0.8604817904,8.865988128,0.9603436116,0.6088729285,0.9446949531,10.68629029,128,23.72638278
2,12000,0.1,0.8538978417,5.262999802,0.8844444763,8.966277591,0.9654623491,0.5869771205,0.9667270555,10.71220262,138,39.39591541
2,12000,0.2,0.8930925147,5.575830542,0.9077231754,9.704976769,0.9838820237,0.5745331158,0.9863714454,11.45957827,141,39.93140152
2,14000,0.01,0.9377713882,10.42631887,0.9338009962,13.62155965,1.004251861,0.7654276848,1.020102123,16.25569244,69,24.49608299
2,14000,0.02,0.8969336393,7.698465678,0.9110526658,10.9697468,0.9845025134,0.7017906446,0.9973079127,13.14522931,88,26.17856563
2,14000,0.05,0.8933052652,5.288794726,0.9196833992,9.134749699,0.971318245,0.5789753305,1.005876139,10.92720194,110,29.8031418
2,14000,0.1,0.9221061118,5.157575891,0.9380662421,9.107627039,0.9829861372,0.5662919517,1.024191582,10.85676973,123,23.04914988
2,14000,0.2,0.9415375319,5.362420636,0.9534222474,9.709145621,0.9875346778,0.5523061293,1.039436512,11.54001539,131,45.53158864
3,6000,0.01,0.7595132252,5.272823174,0.7646719535,8.084567214,0.9932536713,0.6522084651,0.765299128,8.097834378,62,18.37749817
3,6000,0.02,0.6471276545,4.875868754,0.6395660308,7.314169229,1.011823054,0.6666332979,0.6401165582,7.326766471,64,23.22871404
3,6000,0.05,0.4718924504,4.463569112,0.4061870472,6.798808255,1.161761444,0.6565222823,0.4066734504,6.815100956,65,23.5846886
3,6000,0.1,0.3346089484,4.244091791,0.2471457634,6.655622938,1.353893119,0.6376701069,0.2476059688,6.680432627,66,23.78832051
3,6000,0.2,0.2159224887,4.243928467,0.1440390267,6.614614981,1.499055455,0.6415987143,0.144481811,6.655344912,66,14.90784838
3,8000,0.01,0.8455797969,7.019316795,0.8377854177,10.200229,1.009303551,0.6881528634,0.8388698739,10.2266531,90,26.14910808
3,8000,0.02,0.7422067449,6.131350097,0.7382061608,9.324581328,1.005419332,0.6575469591,0.7392603066,9.351231026,91,18.81458421
3,8000,0.05,0.5799586871,5.318741862,0.5511102285,8.636354796,1.052346077,0.6158549514,0.5521400821,8.668662275,93,32.99582197
3,8000,0.1,0.4657575025,5.103318635,0.4004131731,8.403463684,1.163192257,0.6072875218,0.4014307361,8.446229108,94,33.68476717
3,8000,0.2,0.3672410936,4.996221876,0.3073590268,8.341822107,1.194827747,0.5989365168,0.3083649114,8.396511508,95,34.04140505
3,10000,0.01,0.8822128401,8.471163114,0.8801331847,11.43622784,1.002362887,0.7407305302,0.9268671417,12.68297042,104,37.05233509
3,10000,0.02,0.8059654151,7.211611532,0.8105020213,10.29958495,0.9944027207,0.7001846744,0.843801956,11.16329946,119,38.60022095
3,10000,0.05,0.713645418,5.648058317,0.7333882503,9.348827184,0.973079972,0.6041461892,0.7520456739,9.830546706,131,29.13596505
3,10000,0.1,0.6989687545,5.420023493,0.732410156,9.466813174,0.9543406093,0.5725288324,0.7433420219,9.751523237,132,40.82662546
3,10000,0.2,0.7384499127,5.634540284,0.7463353095,9.918471326,0.9894345119,0.5680855546,0.7525962087,10.08557857,129,45.11498641
3,12000,0.01,0.9191932578,9.558555423,0.9100094714,12.30027164,1.010091968,0.777101165,0.9957874699,14.72842108,89,26.34311677
3,12000,0.02,0.8599255596,7.472969116,0.8678705094,10.31215732,0.9908454663,0.7246756314,0.9532548636,12.44106981,108,38.07185195
3,12000,0.05,0.8253360588,5.333940185,0.859417451,8.76035037,0.9603436116,0.6088729285,0.9436317757,10.56132127,128,45.08371044
3,12000,0.1,0.8532883048,5.205056768,0.8838131343,8.867563292,0.9654623491,0.5869771205,0.9660969986,10.59558305,138,39.90232907
3,12000,0.2,0.8926187463,5.515935676,0.9072416456,9.600727136,0.9838820237,0.5745331158,0.9858916675,11.33748077,141,26.80159701
3,14000,0.01,0.9366226545,10.33795272,0.9326571261,13.50611289,1.004251861,0.7654276848,1.018958296,16.12126692,69,24.9137609
3,14000,0.02,0.8958568495,7.605197132,0.9099589258,10.83684599,0.9845025134,0.7017906446,0.9962142091,12.98867309,88,22.96725465
3,14000,0.05,0.8927863336,5.226553264,0.9191491442,9.027246911,0.971318245,0.5789753305,1.005341905,10.79968077,110,38.85054648
3,14000,0.1,0.9217811812,5.100580505,0.9377356875,9.006980393,0.9829861372,0.5662919517,1.023861047,10.7374306,123,43.15679713
3,14000,0.2,0.9413023385,5.304608715,0.9531840852,9.604471928,0.9875346778,0.5523061293,1.039198375,11.4160758,131,25.0817727
4,6000,0.01,0.7560921251,5.223598931,0.7612276168,8.009094041,0.9932536713,0.6522084651,0.7618551628,8.022304666,62,22.44194923
4,6000,0.02,0.6424929921,4.827600516,0.6349855239,7.241763247,1.011823054,0.6666332979,0.6355365936,7.254338173,64,12.74596956
4,6000,0.05,0.4662683994,4.417430525,0.4013460783,6.728530994,1.161761444,0.6565222823,0.4018332794,6.744876675,65,17.91807114
4,6000,0.1,0.3302205937,4.201608949,0.2439044775,6.589000964,1.353893119,0.6376701069,0.2443655264,6.613934682,66,23.836561
4,6000,0.2,0.213067084,4.201518296,0.1421342241,6.548514208,1.499055455,0.6415987143,0.1425778338,6.589454636,66,23.76147527
4,8000,0.01,0.8428409001,6.95632281,0.8350717675,10.10868832,1.009303551,0.6881528634,0.8361563337,10.13496309,90,26.58450989
4,8000,0.02,0.7383723303,6.073123593,0.7343924142,9.236030233,1.005419332,0.6575469591,0.7354466828,9.262567125,92,26.88109838
4,8000,0.05,0.5747387096,5.262811277,0.5461499045,8.545537005,1.052346077,0.6158549514,0.5471799265,8.577800643,94,27.05054439
4,8000,0.1,0.4612004701,5.05027026,0.3964954781,8.316110703,1.163192257,0.6072875218,0.3975132172,8.358857691,95,33.68399399
4,8000,0.2,0.3641980777,4.944533065,0.3048122029,8.255521121,1.194827747,0.5989365168,0.3058182369,8.310105818,95,29.31233653
4,10000,0.01,0.8799957659,8.396460947,0.8779213369,11.33537853,1.002362887,0.7407305302,0.924682284,12.575055,105,37.06177758
4,10000,0.02,0.8031665602,7.137262591,0.8076874123,10.19340019,0.9944027207,0.7001846744,0.8410245767,11.0522276,120,38.42574892
4,10000,0.05,0.7112913815,5.586923922,0.7309690899,9.24763579,0.973079972,0.6041461892,0.7496528318,9.726421001,131,45.78216665
4,10000,0.1,0.6974282175,5.363971041,0.7307959137,9.368909891,0.9543406093,0.5725288324,0.7417389798,9.651594043,132,46.10785085
4,10000,0.2,0.7370183991,5.576091102,0.7448885098,9.815583334,0.9894345119,0.5680855546,0.7511549526,9.981426986,130,30.5330227
4,12000,0.01,0.9175400495,9.460666665,0.9083727806,12.17430509,1.010091968,0.777101165,0.9941511363,14.58212387,89,19.68323858
4,12000,0.02,0.8581796563,7.384161704,0.8661084755,10.18960951,0.9908454663,0.7246756314,0.9514936172,12.29772345,108,31.93258032
4,12000,0.05,0.8244139683,5.27472121,0.8584572838,8.663090381,0.9603436116,0.6088729285,0.9426726578,10.44617475,128,40.23865209
4,12000,0.1,0.8527288905,5.151508892,0.883233708,8.77633678,0.9654623491,0.5869771205,0.9655187524,10.4877768,138,48.20164237
4,12000,0.2,0.8921775235,5.460636245,0.9067931948,9.50447606,0.9838820237,0.5745331158,0.985444849,11.22474088,142,45.16385761
4,14000,0.01,0.9353849496,10.22798663,0.9314246614,13.36244668,1.004251861,0.7654276848,1.017725877,15.9533596,70,25.20831373
4,14000,0.02,0.8947884948,7.510012442,0.9088737536,10.70121481,0.9845025134,0.7017906446,0.9951290731,12.82876315,89,17.57001289
4,14000,0.05,0.892304316,5.168190972,0.9186528932,8.926444185,0.971318245,0.5789753305,1.004845675,10.68007578,110,21.16510935
4,14000,0.1,0.9214784151,5.047633099,0.937427681,8.913481966,0.9829861372,0.5662919517,1.023553059,10.62655671,123,36.08366627
4,14000,0.2,0.9410825754,5.251177499,0.9529615481,9.5077299,0.9875346778,0.5523061293,1.03897586,11.30152358,131,45.8971335
5,6000,0.01,0.7529626888,5.181862033,0.7580769249,7.945100854,0.9932536713,0.6522084651,0.7587048128,7.958267588,62,22.624608
5,6000,0.02,0.6379885438,4.783843585,0.6305337097,7.176124565,1.011823054,0.6666332979,0.6310853124,7.188685674,64,12.40378488
5,6000,0.05,0.4609914173,4.376949868,0.3968038531,6.666871766,1.161761444,0.6565222823,0.3972918167,6.683278822,66,23.78590932
5,6000,0.1,0.3261222105,4.164437034,0.2408773676,6.530707632,1.353893119,0.6376701069,0.2413392204,6.555775302,66,19.82218059
5,6000,0.2,0.2104048856,4.16432971,0.1403583069,6.490551832,1.499055455,0.6415987143,0.1408027012,6.531716913,66,19.27312202
5,8000,0.01,0.8404517264,6.910740264,0.8327046167,10.04244933,1.009303551,0.6881528634,0.8337892793,10.06862852,90,26.73418716
5,8000,0.02,0.7347801204,6.020716361,0.7308195667,9.156329108,1.005419332,0.6575469591,0.7318739514,9.182768623,92,26.9782304
5,8000,0.05,0.5697822234,5.213349847,0.5414399652,8.465223566,1.052346077,0.6158549514,0.5424701493,8.497467343,94,33.55562299
5,8000,0.1,0.4569756536,5.003900047,0.3928633902,8.239754428,1.163192257,0.6072875218,0.3938812948,8.282507962,95,33.8245502
5,8000,0.2,0.3614139351,4.899234553,0.3024820406,8.179889546,1.194827747,0.5989365168,0.3034882126,8.234398995,96,20.22367923
5,10000,0.01,0.8781743376,8.346552247,0.8761042022,11.26800085,1.002362887,0.7407305302,0.922887354,12.50353271,105,36.97943329
5,10000,0.02,0.8006528979,7.073798315,0.8051596011,10.10276085,0.9944027207,0.7001846744,0.8385303229,10.95755514,120,23.82009806
5,10000,0.05,0.7090613818,5.532325637,0.7286773978,9.157263152,0.973079972,0.6041461892,0.7473862063,9.633525555,131,28.37689516
5,10000,0.1,0.6960173597,5.314794558,0.7293175549,9.28301643,0.9543406093,0.5725288324,0.7402709179,9.563947002,132,46.36673262
5,10000,0.2,0.7357317506,5.52480212,0.743588122,9.725299431,0.9894345119,0.5680855546,0.749859564,9.890038088,130,45.44129026
5,12000,0.01,0.9161827237,9.401224865,0.907029016,12.09781337,1.010091968,0.777101165,0.9928076655,14.49421713,89,26.3268459
5,12000,0.02,0.8566107262,7.314435414,0.8645250499,10.09339227,0.9908454663,0.7246756314,0.9499109016,12.18562285,109,31.44843122
5,12000,0.05,0.8235672007,5.222893782,0.8575755498,8.577970111,0.9603436116,0.6088729285,0.9417918888,10.34545603,129,45.17805845
5,12000,0.1,0.8522219131,5.104601438,0.8827085944,8.696423182,0.9654623491,0.5869771205,0.9649947091,10.39335638,139,40.28015773
5,12000,0.2,0.8917816974,5.412150459,0.9063908842,9.42008443,0.9838820237,0.5745331158,0.9850440035,11.12589611,142,49.42970734
5,14000,0.01,0.9344141561,10.15836963,0.9304579781,13.27149491,1.004251861,0.7654276848,1.01675923,15.84756582,70,20.633083
5,14000,0.02,0.8938982779,7.435569742,0.9079695234,10.59513945,0.9845025134,0.7017906446,0.994224873,12.70379222,89,25.72908249
5,14000,0.05,0.8918770536,5.118182152,0.9182130144,8.840069485,0.971318245,0.5789753305,1.004405814,10.5776021,110,38.67221261
5,14000,0.1,0.9212088786,5.001633713,0.9371534793,8.832252866,0.9829861372,0.5662919517,1.023278874,10.53023508,123,35.70046427
5,14000,0.2,0.9408866727,5.204497111,0.9527631727,9.423210852,0.9875346778,0.5523061293,1.038777505,11.20144518,131,46.06149113
6,6000,0.01,0.7496952651,5.133721885,0.7547873084,7.871289871,0.9932536713,0.6522084651,0.7554155556,7.88439866,62,22.57593151
6,6000,0.02,0.6337023664,4.73860689,0.6262976159,7.108266127,1.011823054,0.6666332979,0.6268497314,7.1208043,64,13.43197353
6,6000,0.05,0.455967463,4.333445967,0.3924794246,6.600607601,1.161761444,0.6565222823,0.392968128,6.617055585,66,13.24784039
6,6000,0.1,0.3222520161,4.124021839,0.2380188005,6.46732816,1.353893119,0.6376701069,0.2384814273,6.492493122,66,13.38998084
6,6000,0.2,0.2078908851,4.12400158,0.1386812505,6.427696141,1.499055455,0.6415987143,0.1391263996,6.469026529,66,24.21531058
6,8000,0.01,0.8377494875,6.849681408,0.8300272864,9.95372071,1.009303551,0.6881528634,0.8311120589,9.979754981,91,26.71262286
6,8000,0.02,0.7312129852,5.964323215,0.7272716588,9.07056619,1.005419332,0.6575469591,0.7283261598,9.096888829,92,29.69944126
6,8000,0.05,0.5650913695,5.160952017,0.536982445,8.380142119,1.052346077,0.6158549514,0.5380127845,8.412331905,94,33.59699498
6,8000,0.1,0.4528873094,4.953624195,0.389348628,8.156966867,1.163192257,0.6072875218,0.3903666947,8.199680224,95,18.26983012
6,8000,0.2,0.3586424345,4.850181909,0.3001624589,8.097989975,1.194827747,0.5989365168,0.3011687696,8.152378886,96,28.23305065
6,10000,0.01,0.8760299221,8.270426788,0.8739648418,11.16523007,1.002362887,0.7407305302,0.9207742579,12.39327512,106,26.82104318
6,10000,0.02,0.7980290315,7.000561854,0.8025209655,9.998164928,0.9944027207,0.7001846744,0.8359268822,10.84786086,120,42.02978926
6,10000,0.05,0.7068829154,5.474952787,0.7264386647,9.062297975,0.973079972,0.6041461892,0.7451720998,9.535722565,132,46.21564908
6,10000,0.1,0.6945693965,5.261816126,0.7278003154,9.190482345,0.9543406093,0.5725288324,0.7387642869,9.469468672,133,38.80631971
6,10000,0.2,0.7343527813,5.469418028,0.7421944277,9.627806911,0.9894345119,0.5680855546,0.7484712453,9.791342301,130,45.30086287
6,12000,0.01,0.9145413124,9.307095,0.9054040043,11.97668389,1.010091968,0.777101165,0.9911830102,14.35355453,90,26.15286942
6,12000,0.02,0.8549462731,7.228359651,0.8628452187,9.974613934,0.9908454663,0.7246756314,0.9482318236,12.04645756,109,38.30091144
6,12000,0.05,0.8226962199,5.166891921,0.8566686028,8.48599384,0.9603436116,0.6088729285,0.9408859348,10.2364876,129,31.41201844
6,12000,0.1,0.8516846214,5.053867422,0.8821520821,8.609990484,0.9654623491,0.5869771205,0.9644393315,10.2911894,139,26.83024134
6,12000,0.2,0.8913529733,5.359732819,0.9059551368,9.328849236,0.9838820237,0.5745331158,0.9846098435,11.01902168,142,35.05505389
6,14000,0.01,0.9332598476,10.04334457,0.9293085568,13.12121938,1.004251861,0.7654276848,1.015609852,15.67141223,70,25.35184294
6,14000,0.02,0.8929062725,7.342994351,0.9069619024,10.46322633,0.9845025134,0.7017906446,0.9932172856,12.54804504,89,30.79396746
6,14000,0.05,0.8914114388,5.062813238,0.9177336506,8.744436889,0.971318245,0.5789753305,1.003926469,10.46411117,111,32.80857595
6,14000,0.1,0.9209149119,4.951331424,0.9368544245,8.743425382,0.9829861372,0.5662919517,1.022979837,10.4248912,123,43.32101559
6,14000,0.2,0.9406722512,5.153772385,0.9525460445,9.331369165,0.9875346778,0.5523061293,1.038560399,11.09269145,131,24.60754205
7,6000,0.01,0.7472675903,5.101819636,0.7523431445,7.822375681,0.9932536713,0.6522084651,0.7529716602,7.835450937,62,22.97340229
7,6000,0.02,0.6301560685,4.703696367,0.6227927561,7.055897721,1.011823054,0.6666332979,0.6233453002,7.068423312,64,23.13065432
7,6000,0.05,0.4517881172,4.30034659,0.3888820029,6.550191373,1.161761444,0.6565222823,0.3893713319,6.566685913,66,23.80894732
7,6000,0.1,0.3190458048,4.093520229,0.2356506584,6.41949526,1.353893119,0.6376701069,0.2361139375,6.444760978,66,19.58106743
7,6000,0.2,0.2058253811,4.093485647,0.1373033802,6.380133807,1.499055455,0.6415987143,0.1377491597,6.421629501,66,19.39556587
7,8000,0.01,0.8358762529,6.816042493,0.828171319,9.904837799,1.009303551,0.6881528634,0.8292561678,9.930804141,91,23.6913062
7,8000,0.02,0.7283429329,5.924042855,0.7244170764,9.009307659,1.005419332,0.6575469591,0.7254716717,9.035557977,93,33.05291874
7,8000,0.05,0.5611440983,5.120716801,0.53323152,8.314809826,1.052346077,0.6158549514,0.534261992,8.346977683,95,19.72372002
7,8000,0.1,0.4495463843,4.915750574,0.3864764243,8.094601646,1.163192257,0.6072875218,0.3874946251,8.137309486,96,34.0984207
7,8000,0.2,0.3564400841,4.813197505,0.2983192221,8.036239853,1.194827747,0.5989365168,0.2993256441,8.090554096,96,28.16050004
7,10000,0.01,0.8745914819,8.234471475,0.8725297925,11.11668973,1.002362887,0.7407305302,0.9193568448,12.34193294,106,22.32541412
7,10000,0.02,0.7960059703,6.952916607,0.800486517,9.930118242,0.9944027207,0.7001846744,0.8339197319,10.77692542,121,42.43506989
7,10000,0.05,0.7051169663,5.43123846,0.724623861,8.989940775,0.973079972,0.6041461892,0.7433773433,9.461286862,132,31.23579156
