status,height_Mm,temperature_K,pressure_dyn_cm2,pressure_Pa,i_ne_over_nH,f_cm3,f_1e16_cm3,proton_fraction_np_over_nH,f_proton_cm3,f_proton_1e16_cm3,ne_cm3,nH_cm3,n2_cm3,hydrogen_population_sum_over_nH,reconstructed_pressure_Pa,pressure_relative_error,center_index,n_depth_points,iterations,duration_s,bc_type,boundary_source,Nhalf_points,Nrays,threads_per_model,JTol,popsTol,error_type,error_message
ok,1,10000,0.01,0.001,0.9323284474742972,1.2951106498555872e+17,12.951106498555871,0.8856614915064404,1.1687039911300323e+17,11.687039911300324,3345384354.689919,3588203667.658812,86.41421087728693,1.0,0.0009999732881125,-2.6711887493591213e-05,45,91,103,32.48399983700074,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,10000,0.02,0.002,0.8511699579192465,1.146056119227498e+17,11.46056119227498,0.8179677801989692,1.058389944436512e+17,10.58389944436512,6364230140.634893,7477038024.453736,353.41572374542244,1.0,0.0019999456052762,-2.719736186176241e-05,45,91,118,40.48037134300103,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,10000,0.05,0.005,0.7585635813135295,1.0099287758546754e+17,10.099287758546753,0.7399771186772952,9.610441769983405e+16,9.610441769983405,14891621012.95064,19631341893.799187,2195.802136697048,1.0,0.0049999565530176,-8.689396461224184e-06,45,91,130,44.55461282200122,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,10000,0.1,0.01,0.7474840082974157,1.0001417370470205e+17,10.001417370470206,0.736580876634372,9.71177513854549e+16,9.71177513854549,29525765510.51203,39500196904.23137,8716.472842696257,0.9999999999999998,0.0099999820770501,-1.7922949815257767e-06,45,91,131,44.90666356399015,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,10000,0.2,0.02,0.7561685865587661,1.0345246486576451e+17,10.345246486576452,0.7499213372893234,1.0175013657189146e+17,10.175013657189146,59456114397.27783,78628120043.77963,34170.568519649,1.0000000000000002,0.0199999967863516,-1.606824161573539e-07,45,91,129,36.67398821600364,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,12000,0.01,0.001,0.9999165991029602,1.506286023598972e+17,15.06286023598972,0.914139500162384,1.2589394453054122e+17,12.58939445305412,2893063836.9972234,2893305141.2414126,55.56592993502704,1.0,0.0009999788529906,-2.114700931358203e-05,45,91,88,30.863224065993563,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,12000,0.02,0.002,0.9578979838315812,1.2808497300701194e+17,12.808497300701193,0.8725157002291636,1.0626889475307718e+17,10.62688947530772,5656941042.455342,5905577773.352901,249.8418136533773,1.0,0.0019999627604314,-1.86197842550178e-05,45,91,107,37.19147176000115,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,12000,0.05,0.005,0.946163346353902,1.0858169423393715e+17,10.858169423393717,0.8619517869486266,9.011359647116258e+16,9.011359647116258,14049977644.016323,14849420766.677095,1818.0032388522127,1.0,0.004999984039137,-3.192172585986252e-06,45,91,127,43.48240078399249,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,12000,0.1,0.01,0.9675608239089752,1.0866855197377469e+17,10.866855197377468,0.8852799442182265,9.09721753379895e+16,9.09721753379895,28436118343.849503,29389489157.86681,7441.093230547136,1.0,0.0099999943244802,-5.675519800657501e-07,45,91,137,42.731703715006006,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,12000,0.2,0.02,0.9869917104537982,1.1619607893700942e+17,11.619607893700945,0.908345703947695,9.84162461072966e+16,9.841624610729658,57470642653.981705,58228090515.12489,28425.010527697486,1.0,0.0199999979947023,-1.0026488458936277e-07,45,91,141,47.946347854012856,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
